id,post_date,reporting_date,country_code,author_id,overall_sentiment,brand,model,variant,ownership_status,vehicle_id,id-3,feedback_sentiment,feedback_subcategory
534383,07/01/2025,13/01/2025,FR,187483,Positive,Tesla,Model Y,nan,Owner,17,113614,Neutral,Driving Technologies
1029463,21/01/2025,27/01/2025,DE,481,Neutral,Skoda,Enyaq,nan,Showing Interest,5,399459,Neutral,Delivery Timings
1029463,21/01/2025,27/01/2025,DE,481,Neutral,Skoda,Enyaq,nan,Showing Interest,5,399458,Neutral,Test Drive
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433319,Positive,Quality
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433320,Neutral,Equipment/Specifications
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433321,Positive,Interior Design
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433323,Negative,Charging Experience
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433324,Negative,Delivery Timings
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433318,Neutral,Test Drive
1039278,25/01/2025,27/01/2025,NL,173291,Neutral,Skoda,Enyaq,nan,Showing Interest,5,433322,Negative,Autonomy/Range
