id,post_date,reporting_date,country_code,author_id,overall_sentiment,brand,model,variant,ownership_status,vehicle_id,id-3,feedback_sentiment,feedback_subcategory
957043,26/01/2025,27/01/2025,NL,409261,Neutral,Tesla,Model 3,LR RWD,Pre-Ownership,18,444592,Positive,Order Status
990892,26/01/2025,27/01/2025,UK,12954,Neutral,Tesla,Model 3,nan,Owner,18,493406,Negative,Overall Disappointment With the Brand
990892,26/01/2025,27/01/2025,UK,12954,Neutral,Tesla,Model 3,nan,Owner,18,493405,Positive,Overall Satisfaction With the Car
1044573,24/01/2025,27/01/2025,UK,450834,Negative,Tesla,Model 3,nan,Owner,18,411025,Negative,Overall Disappointment With the Brand
1044573,24/01/2025,27/01/2025,UK,450834,Negative,Tesla,Model 3,nan,Owner,18,411026,Negative,Communication From Brand
1044573,24/01/2025,27/01/2025,UK,450834,Negative,Tesla,Model 3,nan,Owner,18,411027,Negative,Switching to Another Brand
1044573,24/01/2025,27/01/2025,UK,450834,Negative,Tesla,Model 3,nan,Owner,18,411024,Negative,Overall Satisfaction With the Car
1039393,24/01/2025,27/01/2025,UK,346974,Neutral,Tesla,Model 3,nan,Owner,18,407066,Neutral,Autonomy/Range
1039393,24/01/2025,27/01/2025,UK,346974,Neutral,Tesla,Model 3,nan,Owner,18,407067,Neutral,Handling/Driving Experience
1039393,24/01/2025,27/01/2025,UK,346974,Neutral,Tesla,Model 3,nan,Owner,18,407068,Neutral,Equipment/Specifications
1039393,24/01/2025,27/01/2025,UK,346974,Neutral,Tesla,Model 3,nan,Owner,18,407065,Negative,Switching to Another Brand
1054118,24/01/2025,27/01/2025,UK,385679,Neutral,Tesla,Model 3,nan,Owner,18,413557,Positive,OTA Update
1054118,24/01/2025,27/01/2025,UK,385679,Neutral,Tesla,Model 3,nan,Owner,18,413559,Neutral,Interior Design
1054118,24/01/2025,27/01/2025,UK,385679,Neutral,Tesla,Model 3,nan,Owner,18,413555,Positive,Infotainment
1054118,24/01/2025,27/01/2025,UK,385679,Neutral,Tesla,Model 3,nan,Owner,18,413558,Negative,Aftersales (Dealer)
1054118,24/01/2025,27/01/2025,UK,385679,Neutral,Tesla,Model 3,nan,Owner,18,413556,Positive,Equipment/Specifications
619876,06/01/2025,13/01/2025,UK,264652,Neutral,Skoda,Enyaq,60kW,Owner,5,152869,Neutral,Charging Experience
619876,06/01/2025,13/01/2025,UK,264652,Neutral,Skoda,Enyaq,60kW,Owner,5,152868,Neutral,Autonomy/Range
619878,06/01/2025,13/01/2025,UK,264654,Neutral,Skoda,Enyaq,Sportline 80,Owner,5,152873,Negative,Autonomy/Range
619878,06/01/2025,13/01/2025,UK,264654,Neutral,Skoda,Enyaq,Sportline 80,Owner,5,152874,Neutral,Battery
619907,06/01/2025,13/01/2025,UK,18391,Positive,Skoda,Enyaq,nan,Showing Interest,5,152897,Positive,Brand/Product Pride
620025,03/01/2025,06/01/2025,UK,264662,Negative,Skoda,Enyaq,nan,Pre-Ownership,5,158520,Negative,Order Status
510092,01/01/2025,06/01/2025,DE,21,Neutral,Skoda,Enyaq,nan,Owner,5,127025,Neutral,Autonomy/Range
510104,01/01/2025,06/01/2025,DE,21,Neutral,Skoda,Enyaq,nan,Owner,5,127038,Neutral,Test Drive
545161,07/01/2025,13/01/2025,DE,191801,Positive,Skoda,Enyaq,nan,Showing Interest,5,142775,Positive,Overall Satisfaction With the Car
552077,08/01/2025,13/01/2025,DE,196610,Negative,Skoda,Enyaq,nan,Owner,5,144402,Negative,Charging Experience
545121,08/01/2025,13/01/2025,UK,803,Positive,Skoda,Enyaq,nan,Showing Interest,5,143031,Positive,Brand/Product Pride
545121,08/01/2025,13/01/2025,UK,803,Positive,Skoda,Enyaq,nan,Showing Interest,5,143029,Positive,Overall Satisfaction With the Car
545121,08/01/2025,13/01/2025,UK,803,Positive,Skoda,Enyaq,nan,Showing Interest,5,143030,Positive,Interior Design
990910,26/01/2025,27/01/2025,UK,427618,Negative,Tesla,Model 3,Standard Range,Owner,18,493424,Positive,Overall Satisfaction With the Car
990910,26/01/2025,27/01/2025,UK,427618,Negative,Tesla,Model 3,Standard Range,Owner,18,493426,Negative,Switching to Another Brand
990910,26/01/2025,27/01/2025,UK,427618,Negative,Tesla,Model 3,Standard Range,Owner,18,493425,Negative,Product Concern/Query
1057720,20/01/2025,27/01/2025,FR,456111,Neutral,Tesla,Model 3,Highland Pro,Owner,18,417961,Neutral,OTA Update
552981,11/01/2025,13/01/2025,NL,2551,Positive,Skoda,Enyaq,Advanced,Showing Interest,5,144931,Neutral,Order Status
551906,10/01/2025,13/01/2025,DE,196540,Neutral,Skoda,Enyaq,nan,Owner,5,144365,Neutral,Product Concern/Query
552200,02/01/2025,06/01/2025,DE,4550,Neutral,Skoda,Enyaq,nan,Owner,5,144914,Neutral,Infotainment
552982,12/01/2025,13/01/2025,NL,173514,Neutral,Skoda,Enyaq,nan,Owner,5,144900,Neutral,Charging Experience
551919,09/01/2025,13/01/2025,DE,4508,Negative,Skoda,Enyaq,nan,Owner,5,144383,Negative,Equipment/Specifications
552034,11/01/2025,13/01/2025,DE,657,Negative,Skoda,Enyaq,nan,Owner,5,145024,Negative,Quality
